,Plantnummer:,Maximale groeihoogte (in CM):,Wintergroen?:,Bloeimaand:,Vochtigheid grond:,Positie in de tuin:,Bladkleur:,Bloemkleur:,Plantenfamilie:,Nederlandse naam:,Geslacht:,Plantdichtheid Aantal planten per m2:,Type,winterhard:,Wat voor soort grond past erbij?:,Bijvriendelijk:,Soort bodem:,Type tuin :,Snoeiperiode:,Giftig:,Groeiwijze klimplant:,Ondersteuning klimplant:,Haagplanten per strekkende meter:,pH waarde:,Stekels:,Planttijd:,Voeding / Bemesting:,Voeding periode:,Maintenance,Maintenance description
0,YAR4055,50,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Wit,Plantaginaceae,Aar-ereprijs,Veronica,8-11,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
1,YAR62,70,Nee,"Mei, Juni, Juli",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Roze,Polygonaceae,Adderwortel,Persicaria,7-9,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
2,YAR4075,100,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Blauw,Alliaceae,Afrikaanse lelie,Agapanthus,5-7,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
3,YAR2302,60,Nee,"Mei, Juni",Vochthoudend,Schaduw,Groen,"Paars, Bruin",Ranunculaceae,Akelei,Aquilegia,8-11,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig. Zaait zichzelf uit... als het goed is...
4,YAR1040,20,Ja,"Mei, Juni",Vochthoudend-vochtig,Zon,Groen,Roze,Asteraceae,Alpenaster,Aster,25,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
5,YAR1432,15,Ja,"Mei, Juni",Vochthoudend,Zon,Groen,Roze,Caryophyllaceae,Alpenpekanjer,Lychnis,,Borderplanten,,,,,,,,,,,,,,,,Geen,"De plant heeft geen speciale zorg nodig, maar houdt wel van een zonnige standplaats."
6,YAR3906,3000,,,,,Groen,,Altingiaceae,Amberboom,Liquidambar,,Bomen,,,,,,,,,,,,,,,,Geen,De boom hoeft niet echt gesnoeid te worden. Om de boom in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de boom te behouden.
7,YAR316,700,Nee,"April, Mei",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Wit,Rosaceae,Amerikaans krentenboompje,Amelanchier,1,Heesters en Struiken,Ja,Zuur tot zwak zuur,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
8,YAR3915,150-200,Nee,Mei,Droog-vochthoudend,"Zon, Halfschaduw",Groen,Wit,Ericaceae,Amerikaanse bosbes / Trosbosbes,Vaccinium,1-2,Fruitstruiken en moestuinplanten,Tot -20 graden Celsius,,Ja,Zuurminnend,,,,,,,,,,,,Gemiddeld,"Blauwe bessen moeten niet teveel gesnoeid worden, alleen dode of zieke takken verwijderen. Wordt de struik te groot, dan enige takken geheel verwijderen. Laag hangende takken die op de grond komen mogen afgeknipt worden."
9,YAR1373,450,Nee,"Augustus, September, Oktober",Vochthoudend-vochtig,Halfschaduw / zon,Groen,Geel,Hamamelidaceae,Amerikaanse toverhazelaar,Hamamelis,,Tuin thema's en Meer,,Zuur tot zwak zuur,,,,,,,,,,,,,,Geen,De plant hoeft in principe niet gesnoeid te worden.
