,Plantnummer:,Maximale groeihoogte (in CM):,Wintergroen?:,Bloeimaand:,Vochtigheid grond:,Positie in de tuin:,Bladkleur:,Bloemkleur:,Plantenfamilie:,Nederlandse naam:,Geslacht:,Plantdichtheid Aantal planten per m2:,Type,winterhard:,Wat voor soort grond past erbij?:,Bijvriendelijk:,Soort bodem:,Type tuin :,Snoeiperiode:,Giftig:,Groeiwijze klimplant:,Ondersteuning klimplant:,Haagplanten per strekkende meter:,pH waarde:,Stekels:,Planttijd:,Voeding / Bemesting:,Voeding periode:
0,YAR4055,50,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Wit,Plantaginaceae,Aar-ereprijs,Veronica,8-11,Borderplanten,,,,,,,,,,,,,,,
1,YAR62,70,Nee,"Mei, Juni, Juli",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Roze,Polygonaceae,Adderwortel,Persicaria,7-9,Borderplanten,,,,,,,,,,,,,,,
2,YAR4075,100,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Blauw,Alliaceae,Afrikaanse lelie,Agapanthus,5-7,Borderplanten,,,,,,,,,,,,,,,
3,YAR2302,60,Nee,"Mei, Juni",Vochthoudend,Schaduw,Groen,"Paars, Bruin",Ranunculaceae,Akelei,Aquilegia,8-11,Borderplanten,,,,,,,,,,,,,,,
4,YAR1040,20,Ja,"Mei, Juni",Vochthoudend-vochtig,Zon,Groen,Roze,Asteraceae,Alpenaster,Aster,25,Borderplanten,,,,,,,,,,,,,,,
5,YAR1432,15,Ja,"Mei, Juni",Vochthoudend,Zon,Groen,Roze,Caryophyllaceae,Alpenpekanjer,Lychnis,,Borderplanten,,,,,,,,,,,,,,,
6,YAR3906,3000,,,,,Groen,,Altingiaceae,Amberboom,Liquidambar,,Bomen,,,,,,,,,,,,,,,
7,YAR316,700,Nee,"April, Mei",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Wit,Rosaceae,Amerikaans krentenboompje,Amelanchier,1,Heesters en Struiken,Ja,Zuur tot zwak zuur,,,,,,,,,,,,,
8,YAR3915,150-200,Nee,Mei,Droog-vochthoudend,"Zon, Halfschaduw",Groen,Wit,Ericaceae,Amerikaanse bosbes / Trosbosbes,Vaccinium,1-2,Fruitstruiken en moestuinplanten,Tot -20 graden Celsius,,Ja,Zuurminnend,,,,,,,,,,,
9,YAR1373,450,Nee,"Augustus, September, Oktober",Vochthoudend-vochtig,Halfschaduw / zon,Groen,Geel,Hamamelidaceae,Amerikaanse toverhazelaar,Hamamelis,,Tuin thema's en Meer,,Zuur tot zwak zuur,,,,,,,,,,,,,
10,YAR1730,25,Nee,"April, Mei",Vochthoudend,Halfschaduw,Groen,Groen,Araceae,Italiaanse aronskelk,Arum,,Borderplanten,,,,,,,,,,,,,,,
11,YAR3291,25,Nee,"April, Mei",Vochthoudend,Halfschaduw,Wit,Groen,Araceae,Italiaanse aronskelk,Arum,,Borderplanten,,,,,,,,,,,,,,,
12,YAR2699,25,Nee,"April, Mei",Vochthoudend,Halfschaduw,Wit,Groen,Araceae,Gevlekte aronskelk,Arum,,Borderplanten,,,,,,,,,,,,,,,
13,YAR3224,80,Nee,"September, Augustus, Juli, Juni, Mei",Droog-vochthoudend,Zon,Groen,"Paars, Blauw",Dipsacaceae,Beemdkroon,Knautia,,Borderplanten,,,,,,,,,,,,,,,
14,YAR3056,100,Nee,"Juli, Augustus",Droog-vochthoudend,"Zon, Halfschaduw",Groen,"Paars, Rood",Lamiaceae,Bergamotplant,Monarda,,Borderplanten,,,,,,,,,,,,,,,
15,YAR4061,60,Nee,"Oktober, September, Augustus",Droog-vochthoudend,"Zon, Halfschaduw",Groen,"Paars, Blauw",Asteraceae,Bergaster,Aster,,Borderplanten,,,,,,,,,,,,,,,
16,YAR913,1500,Nee,,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,,Betulaceae,Berk,Betula,,Bomen,,Zwak zuur tot licht basisch,,,"Bostuin, Parken",,,,,,,,,,
17,YAR319,450,Nee,"April, Mei",Vochthoudend-vochtig,Zon,Groen,Roze,Magnoliaceae,Beverboom,Magnolia,,Tuin thema's en Meer,,Zuur tot neutraal,,,,Mei,,,,,,,,,
