,ID,Name,Type,Birds,Bees,Butterflies,Hedgehogs,Squirrels,Flowering period,Leaf color,Flower color,Evergreen,Plant growth,Sun exposure,Soil moisture,Maintenance,Maintenance description,Photo
0,0,Aar ereprijs Veronica spicata,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juli Augustus,BladGroen,BloemWit,NietWintergroen,50,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Veronica-spicata-wit.jpg"
1,1,Adderwortel Persicaria bistorta,Borderplanten,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,Mei Juni Juli,BladGroen,BloemRoze,NietWintergroen,70,Lichteschaduw Zon,Vochthoudend vochtig,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1546_src.jpg"
2,2,Afrikaanse lelie Agapanthus,Borderplanten,GeenVogels,GeenBijen,Vlinders,GeenEgels,GeenEekhoorns,Juli Augustus,BladGroen,BloemBlauw,NietWintergroen,100,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/afrikaanse-lelie.jpeg"
3,3,Akelei Aquilegia viridiflora Chocolate Soldier,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Mei Juni,BladGroen,BloemPaars BloemBruin,NietWintergroen,60,Schaduw,Vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig. Zaait zichzelf uit... als het goed is...,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2323_src.jpg"
4,4,Alpenaster Aster alpinus Happy End,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Mei Juni,BladGroen,BloemRoze,Wintergroen,20,Zon,Vochthoudend vochtig,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/YAR1040.png"
5,5,Alpenpekanjer Lychnis alpina Rosea,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Mei Juni,BladGroen,BloemRoze,Wintergroen,15,Zon,Vochthoudend,Geen,"De plant heeft geen speciale zorg nodig, maar houdt wel van een zonnige standplaats.","https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1653_src.jpg"
6,6,Amberboom Liquidambar zuilvorm,Bomen,GeenVogels,GeenBijen,GeenVlinders,Egels,Eekhoorns,,BladGroen,,,3000,,,Geen,De boom hoeft niet echt gesnoeid te worden. Om de boom in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de boom te behouden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/IMG-5199.jpg"
7,7,Amerikaans krentenboompje Amelanchier lamarckii,Heesters en Struiken,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,April Mei,BladGroen,BloemWit,NietWintergroen,700,"Halfschaduw, Zon",Vochthoudend vochtig,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/WhatsApp-Image-2022-04-06-at-2.18.10-PM.jpeg"
8,8,Amerikaanse bosbes Vaccinium corymbosum Bluecrop,Fruitstruiken en moestuinplanten,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,Mei,BladGroen,BloemWit,NietWintergroen,200,Halfschaduw Zon,Droog vochthoudend,Gemiddeld,"Blauwe bessen moeten niet teveel gesnoeid worden, alleen dode of zieke takken verwijderen. Wordt de struik te groot, dan enige takken geheel verwijderen. Laag hangende takken die op de grond komen mogen afgeknipt worden.","https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/jersey.jpeg"
9,9,Amerikaanse toverhazelaar Hamamelis virginiana,Heesters en Struiken,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,Augustus September Oktober,BladGroen,BloemGeel,NietWintergroen,450,"Halfschaduw, zon",Vochthoudend vochtig,Geen,De plant hoeft in principe niet gesnoeid te worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/amerikaanse-toverhazelaar.png"
10,10,Arum italicum,Borderplanten,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,April Mei,BladGroen,BloemGroen,NietWintergroen,25,Halfschaduw,Vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_465_src.jpg"
11,11,Arum italicum Marmoratum,Borderplanten,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,April Mei,BladWit,BloemGroen,NietWintergroen,25,Halfschaduw,Vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3517_src.jpg"
12,12,Arum maculatum,Borderplanten,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,April Mei,BladWit,BloemGroen,NietWintergroen,25,Halfschaduw,Vochthoudend,Geen,Snoei is niet nodig bij deze plant.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_4056_src.jpg"
