,Name,Photo,Birds,Bees,Butterflies,Hedgehogs,Squirrels
0,Aar-ereprijs-Veronica-spicata,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Veronica-spicata-wit.jpg']",,Ja,Ja,,
1,Adderwortel-Persicaria-bistorta,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1546_src.jpg']",Ja,,,,
2,Afrikaanse-lelie-Agapanthus,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/afrikaanse-lelie.jpeg']",,,Ja,,
3,Akelei-Aquilegia-viridiflora-Chocolate-Soldier,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2323_src.jpg']",,Ja,Ja,,
4,Alpenaster-Aster-alpinus-Happy-End,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/YAR1040.png']",,Ja,Ja,,
5,Alpenpekanjer-Lychnis-alpina-Rosea,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1653_src.jpg']",,Ja,Ja,,
6,Amberboom-Liquidambar-zuilvorm,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/IMG-5199.jpg']",,,,Ja,Ja
7,Amerikaans-krentenboompje-Amelanchier-lamarckii,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/WhatsApp-Image-2022-04-06-at-2.18.10-PM.jpeg']",Ja,,,,
8,Amerikaanse-bosbes-Vaccinium-corymbosum-Bluecrop,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/jersey.jpeg']",Ja,,,,
9,Amerikaanse-toverhazelaar-Hamamelis-virginiana,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/amerikaanse-toverhazelaar.png']",Ja,,,,
10,Arum-italicum,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_465_src.jpg']",Ja,,,,
11,Arum-italicum-Marmoratum,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3517_src.jpg']",Ja,,,,
12,Arum-maculatum,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_4056_src.jpg']",Ja,,,,
13,Beemdkroon-Knautia-Arvensis,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3403_src.jpg']",Ja,,,,
14,Bergamotplant-Monarda-Mahogany,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3223_src.jpg']",,Ja,Ja,,
15,Bergaster-Aster-amellus,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Screenshot_20210827-135843_Drive_3.jpg']",,Ja,Ja,,
16,Berk-Betula-ermanii-Blush,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1171_src.jpg']",Ja,,,,
17,Beverboom-Magnolia-Heaven-Scent,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_102_src.jpg']",Ja,Ja,Ja,Ja,
18,Beverboom-Magnolia-Susan,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/20200513_161829.jpg']",Ja,Ja,Ja,,
19,Blaassilene-Silene-vulgaris,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2530_src.jpg']",,Ja,Ja,,
20,Blauwe-Verbena-Verbena-Hastata,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1289_src.jpg']",,Ja,Ja,,
